module,SecId,dat1,dat2,dat3,dat4,dat5,dat6
18,2,0,1,110,1,112,0
18,2,0,1,110,1,112,0
18,2,0,1,110,1,112,0
18,2,0,1,110,1,112,0
18,2,0,1,110,1,112,0
20,2,0,0,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,2,0,1,0,0
20,2,0,6,0,1,0,0
20,2,0,10,0,1,0,0
20,2,0,12,0,1,0,0
20,2,0,14,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,17,0,1,0,0
20,2,0,20,0,1,0,0
20,2,0,26,0,1,0,0
20,2,0,33,0,1,0,0
20,2,0,42,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,54,0,1,0,0
20,2,0,69,0,1,0,0
20,2,0,86,0,1,0,0
20,2,0,106,0,1,0,0
20,2,0,125,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,144,0,1,0,0
20,2,0,165,0,1,0,0
20,2,0,176,0,1,0,0
20,2,0,180,0,1,0,0
20,2,0,199,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,216,0,1,0,0
20,2,0,216,0,1,0,0
20,2,0,213,0,1,0,0
20,2,0,212,0,1,0,0
20,2,0,211,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,210,0,1,0,0
20,2,0,209,0,1,0,0
20,2,0,208,0,1,0,0
20,2,0,203,0,1,0,0
20,2,0,189,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,189,0,1,0,0
20,2,0,190,0,1,0,0
20,2,0,191,0,1,0,0
20,2,0,190,0,1,0,0
20,2,0,189,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,174,0,1,0,0
20,2,0,173,0,1,0,0
20,2,0,175,0,1,0,0
20,2,0,165,0,1,0,0
20,2,0,164,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,162,0,1,0,0
20,2,0,164,0,1,0,0
20,2,0,165,0,1,0,0
20,2,0,164,0,1,0,0
20,2,0,166,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,177,0,1,0,0
20,2,0,197,0,1,0,0
20,2,0,209,0,1,0,0
20,2,0,190,0,1,0,0
20,2,0,191,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,182,0,1,0,0
20,2,0,171,0,1,0,0
20,2,0,172,0,1,0,0
20,2,0,173,0,1,0,0
20,2,0,171,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,154,0,1,0,0
20,2,0,153,0,1,0,0
20,2,0,152,0,1,0,0
20,2,0,146,0,1,0,0
20,2,0,145,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,143,0,1,0,0
20,2,0,140,0,1,0,0
20,2,0,138,0,1,0,0
20,2,0,138,0,1,0,0
20,2,0,136,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,138,0,1,0,0
20,2,0,139,0,1,0,0
20,2,0,140,0,1,0,0
20,2,0,140,0,1,0,0
20,2,0,138,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,136,0,1,0,0
20,2,0,132,0,1,0,0
20,2,0,131,0,1,0,0
20,2,0,129,0,1,0,0
20,2,0,131,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,132,0,1,0,0
20,2,0,133,0,1,0,0
20,2,0,126,0,1,0,0
20,2,0,125,0,1,0,0
20,2,0,123,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,124,0,1,0,0
20,2,0,126,0,1,0,0
20,2,0,128,0,1,0,0
20,2,0,127,0,1,0,0
20,2,0,123,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,119,0,1,0,0
20,2,0,118,0,1,0,0
20,2,0,117,0,1,0,0
20,2,0,115,0,1,0,0
20,2,0,114,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,118,0,1,0,0
20,2,0,120,0,1,0,0
20,2,0,115,0,1,0,0
20,2,0,117,0,1,0,0
20,2,0,120,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,110,0,1,0,0
20,2,0,109,0,1,0,0
20,2,0,105,0,1,0,0
20,2,0,106,0,1,0,0
20,2,0,110,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,112,0,1,0,0
20,2,0,113,0,1,0,0
20,2,0,111,0,1,0,0
20,2,0,106,0,1,0,0
20,2,0,101,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,99,0,1,0,0
20,2,0,98,0,1,0,0
20,2,0,97,0,1,0,0
20,2,0,92,0,1,0,0
20,2,0,90,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,88,0,1,0,0
20,2,0,86,0,1,0,0
20,2,0,88,0,1,0,0
20,2,0,92,0,1,0,0
20,2,0,93,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,93,0,1,0,0
20,2,0,88,0,1,0,0
20,2,0,91,0,1,0,0
20,2,0,93,0,1,0,0
20,2,0,88,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,86,0,1,0,0
20,2,0,84,0,1,0,0
20,2,0,82,0,1,0,0
20,2,0,82,0,1,0,0
20,2,0,81,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,80,0,1,0,0
20,2,0,82,0,1,0,0
20,2,0,83,0,1,0,0
20,2,0,80,0,1,0,0
20,2,0,77,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,76,0,1,0,0
20,2,0,75,0,1,0,0
20,2,0,76,0,1,0,0
20,2,0,77,0,1,0,0
20,2,0,78,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,77,0,1,0,0
20,2,0,76,0,1,0,0
20,2,0,72,0,1,0,0
20,2,0,70,0,1,0,0
20,2,0,69,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,65,0,1,0,0
20,2,0,68,0,1,0,0
20,2,0,66,0,1,0,0
20,2,0,65,0,1,0,0
20,2,0,66,0,1,0,0
18,2,0,1,110,1,112,0
20,2,0,53,0,1,0,0
20,2,0,50,0,1,0,0
20,2,0,50,0,1,0,0
20,2,0,50,0,1,0,0
20,3,1,0,0,0,0,0
18,2,0,1,110,1,112,0
20,4,0,120,0,80,0,93
20,5,0,60,0,0,0,0
18,2,0,1,110,1,112,0
